"code","name","region","population"
"AFG","Afghanistan","Southern and Central Asia","22720000"
"ALB","Albania","Southern Europe","3401200"
"DZA","Algeria","Northern Africa","31471000"
"ASM","American Samoa","Polynesia","68000"
"AND","Andorra","Southern Europe","78000"
"AGO","Angola","Central Africa","12878000"
"AIA","Anguilla","Caribbean","8000"
"ATA","Antarctica","Antarctica","0"
"ATG","Antigua and Barbuda","Caribbean","68000"
"ARG","Argentina","South America","37032000"
"ARM","Armenia","Middle East","3520000"
"ABW","Aruba","Caribbean","103000"
"AUS","Australia","Australia and New Zealand","18886000"
"AUT","Austria","Western Europe","8091800"
"AZE","Azerbaijan","Middle East","7734000"
"BHS","Bahamas","Caribbean","307000"
"BHR","Bahrain","Middle East","617000"
"BGD","Bangladesh","Southern and Central Asia","129155000"
"BRB","Barbados","Caribbean","270000"
"BLR","Belarus","Eastern Europe","10236000"
"BEL","Belgium","Western Europe","10239000"
"BLZ","Belize","Central America","241000"
"BEN","Benin","Western Africa","6097000"
"BMU","Bermuda","North America","65000"
"BTN","Bhutan","Southern and Central Asia","2124000"
"BOL","Bolivia","South America","8329000"
"BIH","Bosnia and Herzegovina","Southern Europe","3972000"
"BWA","Botswana","Southern Africa","1622000"
"BVT","Bouvet Island","Antarctica","0"
"BRA","Brazil","South America","170115000"
"IOT","British Indian Ocean Territory","Eastern Africa","0"
"BRN","Brunei","Southeast Asia","328000"
"BGR","Bulgaria","Eastern Europe","8190900"
"BFA","Burkina Faso","Western Africa","11937000"
"BDI","Burundi","Eastern Africa","6695000"
"KHM","Cambodia","Southeast Asia","11168000"
"CMR","Cameroon","Central Africa","15085000"
"CAN","Canada","North America","31147000"
"CPV","Cape Verde","Western Africa","428000"
"CYM","Cayman Islands","Caribbean","38000"
"CAF","Central African Republic","Central Africa","3615000"
"TCD","Chad","Central Africa","7651000"
"CHL","Chile","South America","15211000"
"CHN","China","Eastern Asia","1277558000"
"CXR","Christmas Island","Australia and New Zealand","2500"
"CCK","Cocos (Keeling) Islands","Australia and New Zealand","600"
"COL","Colombia","South America","42321000"
"COM","Comoros","Eastern Africa","578000"
"COG","Congo","Central Africa","2943000"
"COD","Congo, The Democratic Republic of the","Central Africa","51654000"
"COK","Cook Islands","Polynesia","20000"
"CRI","Costa Rica","Central America","4023000"
"CIV","CÃ´te dâIvoire","Western Africa","14786000"
"HRV","Croatia","Southern Europe","4473000"
"CUB","Cuba","Caribbean","11201000"
"CYP","Cyprus","Middle East","754700"
"CZE","Czech Republic","Eastern Europe","10278100"
"DNK","Denmark","Nordic Countries","5330000"
"DJI","Djibouti","Eastern Africa","638000"
"DMA","Dominica","Caribbean","71000"
"DOM","Dominican Republic","Caribbean","8495000"
"TMP","East Timor","Southeast Asia","885000"
"ECU","Ecuador","South America","12646000"
"EGY","Egypt","Northern Africa","68470000"
"SLV","El Salvador","Central America","6276000"
"GNQ","Equatorial Guinea","Central Africa","453000"
"ERI","Eritrea","Eastern Africa","3850000"
"EST","Estonia","Baltic Countries","1439200"
"ETH","Ethiopia","Eastern Africa","62565000"
"FLK","Falkland Islands","South America","2000"
"FRO","Faroe Islands","Nordic Countries","43000"
"FJI","Fiji Islands","Melanesia","817000"
"FIN","Finland","Nordic Countries","5171300"
"FRA","France","Western Europe","59225700"
"GUF","French Guiana","South America","181000"
"PYF","French Polynesia","Polynesia","235000"
"ATF","French Southern territories","Antarctica","0"
"GAB","Gabon","Central Africa","1226000"
"GMB","Gambia","Western Africa","1305000"
"GEO","Georgia","Middle East","4968000"
"DEU","Germany","Western Europe","82164700"
"GHA","Ghana","Western Africa","20212000"
"GIB","Gibraltar","Southern Europe","25000"
"GRC","Greece","Southern Europe","10545700"
"GRL","Greenland","North America","56000"
"GRD","Grenada","Caribbean","94000"
"GLP","Guadeloupe","Caribbean","456000"
"GUM","Guam","Micronesia","168000"
"GTM","Guatemala","Central America","11385000"
"GIN","Guinea","Western Africa","7430000"
"GNB","Guinea-Bissau","Western Africa","1213000"
"GUY","Guyana","South America","861000"
"HTI","Haiti","Caribbean","8222000"
"HMD","Heard Island and McDonald Islands","Antarctica","0"
"VAT","Holy See (Vatican City State)","Southern Europe","1000"
"HND","Honduras","Central America","6485000"
"HKG","Hong Kong","Eastern Asia","6782000"
"HUN","Hungary","Eastern Europe","10043200"
"ISL","Iceland","Nordic Countries","279000"
"IND","India","Southern and Central Asia","1013662000"
"IDN","Indonesia","Southeast Asia","212107000"
"IRN","Iran","Southern and Central Asia","67702000"
"IRQ","Iraq","Middle East","23115000"
"IRL","Ireland","British Islands","3775100"
"ISR","Israel","Middle East","6217000"
"ITA","Italy","Southern Europe","57680000"
"JAM","Jamaica","Caribbean","2583000"
"JPN","Japan","Eastern Asia","126714000"
"JOR","Jordan","Middle East","5083000"
"KAZ","Kazakstan","Southern and Central Asia","16223000"
"KEN","Kenya","Eastern Africa","30080000"
"KIR","Kiribati","Micronesia","83000"
"KWT","Kuwait","Middle East","1972000"
"KGZ","Kyrgyzstan","Southern and Central Asia","4699000"
"LAO","Laos","Southeast Asia","5433000"
"LVA","Latvia","Baltic Countries","2424200"
"LBN","Lebanon","Middle East","3282000"
"LSO","Lesotho","Southern Africa","2153000"
"LBR","Liberia","Western Africa","3154000"
"LBY","Libyan Arab Jamahiriya","Northern Africa","5605000"
"LIE","Liechtenstein","Western Europe","32300"
"LTU","Lithuania","Baltic Countries","3698500"
"LUX","Luxembourg","Western Europe","435700"
"MAC","Macao","Eastern Asia","473000"
"MKD","Macedonia","Southern Europe","2024000"
"MDG","Madagascar","Eastern Africa","15942000"
"MWI","Malawi","Eastern Africa","10925000"
"MYS","Malaysia","Southeast Asia","22244000"
"MDV","Maldives","Southern and Central Asia","286000"
"MLI","Mali","Western Africa","11234000"
"MLT","Malta","Southern Europe","380200"
"MHL","Marshall Islands","Micronesia","64000"
"MTQ","Martinique","Caribbean","395000"
"MRT","Mauritania","Western Africa","2670000"
"MUS","Mauritius","Eastern Africa","1158000"
"MYT","Mayotte","Eastern Africa","149000"
"MEX","Mexico","Central America","98881000"
"FSM","Micronesia, Federated States of","Micronesia","119000"
"MDA","Moldova","Eastern Europe","4380000"
"MCO","Monaco","Western Europe","34000"
"MNG","Mongolia","Eastern Asia","2662000"
"MSR","Montserrat","Caribbean","11000"
"MAR","Morocco","Northern Africa","28351000"
"MOZ","Mozambique","Eastern Africa","19680000"
"MMR","Myanmar","Southeast Asia","45611000"
"NAM","Namibia","Southern Africa","1726000"
"NRU","Nauru","Micronesia","12000"
"NPL","Nepal","Southern and Central Asia","23930000"
"NLD","Netherlands","Western Europe","15864000"
"ANT","Netherlands Antilles","Caribbean","217000"
"NCL","New Caledonia","Melanesia","214000"
"NZL","New Zealand","Australia and New Zealand","3862000"
"NIC","Nicaragua","Central America","5074000"
"NER","Niger","Western Africa","10730000"
"NGA","Nigeria","Western Africa","111506000"
"NIU","Niue","Polynesia","2000"
"NFK","Norfolk Island","Australia and New Zealand","2000"
"MNP","Northern Mariana Islands","Micronesia","78000"
"PRK","North Korea","Eastern Asia","24039000"
"NOR","Norway","Nordic Countries","4478500"
"OMN","Oman","Middle East","2542000"
"PAK","Pakistan","Southern and Central Asia","156483000"
"PLW","Palau","Micronesia","19000"
"PSE","Palestine","Middle East","3101000"
"PAN","Panama","Central America","2856000"
"PNG","Papua New Guinea","Melanesia","4807000"
"PRY","Paraguay","South America","5496000"
"PER","Peru","South America","25662000"
"PHL","Philippines","Southeast Asia","75967000"
"PCN","Pitcairn","Polynesia","50"
"POL","Poland","Eastern Europe","38653600"
"PRT","Portugal","Southern Europe","9997600"
"PRI","Puerto Rico","Caribbean","3869000"
"QAT","Qatar","Middle East","599000"
"REU","RÃ©union","Eastern Africa","699000"
"ROM","Romania","Eastern Europe","22455500"
"RUS","Russian Federation","Eastern Europe","146934000"
"RWA","Rwanda","Eastern Africa","7733000"
"SHN","Saint Helena","Western Africa","6000"
"KNA","Saint Kitts and Nevis","Caribbean","38000"
"LCA","Saint Lucia","Caribbean","154000"
"SPM","Saint Pierre and Miquelon","North America","7000"
"VCT","Saint Vincent and the Grenadines","Caribbean","114000"
"WSM","Samoa","Polynesia","180000"
"SMR","San Marino","Southern Europe","27000"
"STP","Sao Tome and Principe","Central Africa","147000"
"SAU","Saudi Arabia","Middle East","21607000"
"SEN","Senegal","Western Africa","9481000"
"SYC","Seychelles","Eastern Africa","77000"
"SLE","Sierra Leone","Western Africa","4854000"
"SGP","Singapore","Southeast Asia","3567000"
"SVK","Slovakia","Eastern Europe","5398700"
"SVN","Slovenia","Southern Europe","1987800"
"SLB","Solomon Islands","Melanesia","444000"
"SOM","Somalia","Eastern Africa","10097000"
"ZAF","South Africa","Southern Africa","40377000"
"SGS","South Georgia and the South Sandwich Islands","Antarctica","0"
"KOR","South Korea","Eastern Asia","46844000"
"ESP","Spain","Southern Europe","39441700"
"LKA","Sri Lanka","Southern and Central Asia","18827000"
"SDN","Sudan","Northern Africa","29490000"
"SUR","Suriname","South America","417000"
"SJM","Svalbard and Jan Mayen","Nordic Countries","3200"
"SWZ","Swaziland","Southern Africa","1008000"
"SWE","Sweden","Nordic Countries","8861400"
"CHE","Switzerland","Western Europe","7160400"
"SYR","Syria","Middle East","16125000"
"TWN","Taiwan","Eastern Asia","22256000"
"TJK","Tajikistan","Southern and Central Asia","6188000"
"TZA","Tanzania","Eastern Africa","33517000"
"THA","Thailand","Southeast Asia","61399000"
"TGO","Togo","Western Africa","4629000"
"TKL","Tokelau","Polynesia","2000"
"TON","Tonga","Polynesia","99000"
"TTO","Trinidad and Tobago","Caribbean","1295000"
"TUN","Tunisia","Northern Africa","9586000"
"TUR","Turkey","Middle East","66591000"
"TKM","Turkmenistan","Southern and Central Asia","4459000"
"TCA","Turks and Caicos Islands","Caribbean","17000"
"TUV","Tuvalu","Polynesia","12000"
"UGA","Uganda","Eastern Africa","21778000"
"UKR","Ukraine","Eastern Europe","50456000"
"ARE","United Arab Emirates","Middle East","2441000"
"GBR","United Kingdom","British Islands","59623400"
"USA","United States","North America","278357000"
"UMI","United States Minor Outlying Islands","Micronesia/Caribbean","0"
"URY","Uruguay","South America","3337000"
"UZB","Uzbekistan","Southern and Central Asia","24318000"
"VUT","Vanuatu","Melanesia","190000"
"VEN","Venezuela","South America","24170000"
"VNM","Vietnam","Southeast Asia","79832000"
"VGB","Virgin Islands, British","Caribbean","21000"
"VIR","Virgin Islands, U.S.","Caribbean","93000"
"WLF","Wallis and Futuna","Polynesia","15000"
"ESH","Western Sahara","Northern Africa","293000"
"YEM","Yemen","Middle East","18112000"
"YUG","Yugoslavia","Southern Europe","10640000"
"ZMB","Zambia","Eastern Africa","9169000"
"ZWE","Zimbabwe","Eastern Africa","11669000"
